,lat,lng,GeoFips
232,30.6953657,-88.0398912,33660
233,37.63909719999999,-120.9968782,33700
234,32.5093109,-92.1193012,33740
235,41.9164343,-83.3977101,33780
236,32.3668052,-86.2999689,33860
237,39.629526,-79.95589679999999,34060
238,36.2139814,-83.29489219999999,34100
239,40.9125992,-73.8370786,34580
240,40.1933767,-85.3863599,34620
241,43.2341813,-86.24839209999999,34740
242,33.6890603,-78.8866943,34820
243,38.2975381,-122.286865,34900
244,26.1420358,-81.7948103,34940
245,36.166667,-86.783333,34980
246,35.108493,-77.04411429999999,35100
247,41.2306979,-73.064036,35300
248,29.95106579999999,-90.0715323,35380
249,43.0467301,-77.0952516,35620
250,42.0189191,-87.80284019999999,35660
251,27.044224,-82.2359254,35840
252,41.5242649,-72.07591049999999,35980
253,29.1871986,-82.14009229999999,36100
254,39.2776156,-74.5746001,36140
255,31.8456816,-102.3676431,36220
256,41.223,-111.9738304,36260
257,35.4675602,-97.5164276,36420
258,46.9748058,-122.8975562,36500
259,41.2523634,-95.99798829999999,36540
260,28.5383355,-81.3792365,36740
261,44.0247062,-88.5426136,36780
262,37.7719074,-87.1111676,36980
263,34.1975048,-119.1770516,37100
264,28.0344621,-80.5886646,37340
265,30.1588129,-85.6602058,37460
266,39.3270191,-81.5484578,37620
267,30.42130899999999,-87.2169149,37860
268,40.6936488,-89.5889864,37900
269,39.952335,-75.16378900000001,37980
270,33.5888589,-112.0066504,38060
271,34.2284312,-92.00319549999999,38220
272,40.44062479999999,-79.9958864,38300
273,42.4500845,-73.2453824,38340
274,42.8713032,-112.4455344,38540
275,45.5234515,-122.6762071,38860
276,45.5234515,-122.6762071,38900
277,27.2730492,-80.3582261,38940
278,34.5400242,-112.4685025,39140
279,41.8239891,-71.4128343,39300
280,40.2338438,-111.6585337,39340
281,38.2544472,-104.6091409,39380
282,26.9297836,-82.0453664,39460
283,42.7261309,-87.78285230000002,39540
284,35.7795897,-78.6381787,39580
285,44.0805434,-103.2310149,39660
286,40.3356483,-75.9268747,39740
287,40.5865396,-122.3916754,39820
288,39.5296329,-119.8138027,39900
289,37.5407246,-77.4360481,40060
290,33.9533487,-117.3961564,40140
291,37.2709704,-79.9414266,40220
292,44.0234,-92.46294999999999,40340
293,43.16103,-77.6109219,40380
294,42.2711311,-89.0939952,40420
295,35.9382103,-77.7905339,40580
296,34.257038,-85.1646726,40660
297,38.5815719,-121.4943996,40900
298,43.4194699,-83.9508068,40980
299,45.5579451,-94.16324039999999,41060
300,37.0965278,-113.5684164,41100
301,39.7674578,-94.84668099999999,41140
302,38.6270025,-90.19940419999999,41180
304,36.6777372,-121.6555013,41500
305,38.3606736,-75.5993692,41540
306,40.7607793,-111.8910474,41620
307,31.4637723,-100.4370375,41660
308,29.3795211,-98.4612247,41700
309,33.1580933,-117.3505939,41740
310,37.7749295,-122.4194155,41860
311,37.3393857,-121.8949555,41940
312,35.640833,-120.653889,42020
313,36.910231,-121.7568946,42100
314,35.6869752,-105.937799,42140
315,34.9530337,-120.4357191,42200
316,38.440429,-122.7140548,42220
317,32.0587668,-81.1016779,42340
318,41.408969,-75.66241219999999,42540
319,47.6062095,-122.3320708,42660
321,27.495592,-81.440907,42700
322,43.7508284,-87.71453,43100
324,32.5251516,-93.7501789,43340
325,31.4315123,-109.5168458,43420
326,42.4999942,-96.40030689999999,43580
327,43.5445959,-96.73110340000001,43620
328,41.6915197,-86.2285706,43780
329,34.9495672,-81.9320482,43900
330,47.6732281,-117.2393748,44060
331,39.78172130000001,-89.6501481,44100
332,42.1014831,-72.589811,44140
333,37.2089572,-93.29229889999999,44180
334,39.9242266,-83.8088171,44220
335,40.7933949,-77.8600012,44300
336,38.149576,-79.0716958,44420
337,37.9577016,-121.2907796,44700
338,33.9204354,-80.3414693,44940
339,43.0481221,-76.14742439999999,45060
340,30.4382559,-84.28073289999999,45220
341,27.950575,-82.4571776,45300
342,39.4667034,-87.41390919999999,45460
343,33.425125,-94.04768820000001,45500
344,28.927019,-82.0037608,45540
345,41.6639383,-83.55521200000001,45780
346,39.0558235,-95.68901849999999,45820
347,40.2170534,-74.7429384,45940
348,32.2217429,-110.926479,46060
349,36.1539816,-95.99277500000001,46140
350,33.2098407,-87.56917349999999,46220
351,32.3512601,-95.30106239999999,46340
353,43.100903,-75.232664,46540
354,30.8327022,-83.2784851,46660
355,38.1040864,-122.2566367,46700
356,28.8052674,-97.0035982,47020
357,39.4863773,-75.02596369999999,47220
358,36.8529263,-75.97798499999999,47260
359,36.3302284,-119.2920585,47300
360,31.549333,-97.1466695,47380
361,46.0645809,-118.3430209,47460
362,32.608611,-83.63805599999999,47580
363,48.1987118,-122.1251418,47900
364,43.4642578,-80.5204096,47940
365,44.05583679999999,-75.7595446,48060
366,44.9591352,-89.6301221,48140
367,40.41895660000001,-80.58951669999999,48260
368,47.4234599,-120.3103494,48300
369,40.0639616,-80.7209149,48540
370,37.688889,-97.336111,48620
371,33.9137085,-98.4933873,48660
372,41.2411897,-77.00107860000001,48700
373,34.2257255,-77.9447102,48900
374,39.1856597,-78.1633341,49020
375,36.09985959999999,-80.244216,49180
376,42.2625932,-71.8022934,49340
377,46.6020711,-120.5058987,49420
378,39.8006553,-76.9830358,49620
379,41.0799329,-80.6632103,49660
380,39.1404477,-121.6169108,49700
381,32.6926512,-114.6276916,49740
